trip_id,corporation,route_code,origin,destination,distance_km,hour_of_day,day_of_week,is_peak_hour,weather_condition,traffic_density_index,passenger_occupancy_percent,actual_delay_mins,fuel_consumed_liters
TN-5E-0173,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,5,0,0,Fog,0.44,54,14.0,7.9
TN-MDU-201-0174,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,14,5,0,Clear,0.55,66,18.9,6.4
TN-5E-0175,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,10,6,1,Monsoon_Heavy,0.91,90,51.7,9.6
TN-SLM-ERD-0176,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,19,3,1,Clear,0.76,117,20.8,35.7
TN-CBE-OOTY-0177,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,23,3,0,Monsoon_Heavy,0.7,32,45.0,48.5
TN-101A-0178,MTC_CHENNAI,101A,Koyambedu CMBT,Chennai Central Station,14.8,5,1,0,Clear,0.63,38,22.8,9.5
TN-23C-0179,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,5,3,0,Fog,0.39,38,12.1,7.5
TN-TRY-401-0180,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,22,6,0,Fog,0.56,34,17.4,29.5
TN-MDU-KODAI-0181,TNSTC_MADURAI,MDU-KODAI,Madurai Arapalayam,Kodaikanal Bus Stand,115.0,5,3,0,Clear,0.59,66,18.6,62.9
TN-SETC-902X-0182,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,18,2,1,Clear,0.81,100,22.8,245.0
TN-SLM-301-0183,TNSTC_SALEM,SLM-301,Salem New Bus Stand,Yercaud Hill Top,32.0,16,0,0,Rain,0.68,45,33.3,22.5
TN-21G-0184,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,17,6,1,Clear,0.89,99,26.7,10.3
TN-TRY-401-0185,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,8,4,1,Monsoon_Heavy,0.95,107,53.7,33.1
TN-SETC-902X-0186,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,9,1,1,Clear,0.74,97,20.8,239.0
TN-SETC-902X-0187,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,7,1,0,Fog,0.42,66,16.4,218.2
TN-SETC-108X-0188,SETC_EXPRESS,SETC-108X,Chennai CMBT,Puducherry Bus Stand,155.0,15,6,0,Fog,0.34,58,7.8,69.6
TN-CBE-OOTY-0189,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,13,4,0,Clear,0.36,34,10.6,43.1
TN-101A-0190,MTC_CHENNAI,101A,Koyambedu CMBT,Chennai Central Station,14.8,16,6,0,Clear,0.23,35,9.4,8.8
TN-SLM-301-0191,TNSTC_SALEM,SLM-301,Salem New Bus Stand,Yercaud Hill Top,32.0,23,4,0,Fog,0.6,58,23.2,22.3
TN-570-0192,MTC_CHENNAI,570,Koyambedu CMBT,Siruseri IT Park OMR,34.5,15,4,0,Rain,0.53,33,29.0,20.4
TN-CBE-PLK-0193,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,7,4,0,Fog,0.28,45,11.8,23.1
TN-TRY-401-0194,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,21,4,0,Clear,0.36,48,11.3,27.8
TN-SETC-801X-0195,SETC_EXPRESS,SETC-801X,Chennai CMBT,Madurai Mattuthavani,460.0,6,6,0,Fog,0.49,34,14.7,205.5
TN-MDU-RMS-0196,TNSTC_MADURAI,MDU-RMS,Madurai Mattuthavani,Rameswaram Temple Stand,172.0,14,2,0,Fog,0.58,68,22.3,81.9
TN-SETC-108X-0197,SETC_EXPRESS,SETC-108X,Chennai CMBT,Puducherry Bus Stand,155.0,9,2,1,Clear,0.95,100,29.0,83.1
TN-21G-0198,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,14,4,0,Rain,0.59,51,34.0,10.3
TN-TRY-401-0199,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,7,5,0,Fog,0.39,53,8.9,27.3
TN-570-0200,MTC_CHENNAI,570,Koyambedu CMBT,Siruseri IT Park OMR,34.5,15,6,0,Rain,0.39,38,22.1,18.8
TN-23C-0201,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,21,6,0,Monsoon_Heavy,0.78,63,45.7,7.7
TN-SETC-801X-0202,SETC_EXPRESS,SETC-801X,Chennai CMBT,Madurai Mattuthavani,460.0,9,4,1,Rain,0.84,96,41.7,227.3
TN-11G-0203,MTC_CHENNAI,11G,K.K. Nagar,Broadway Bus Terminus,12.0,19,0,1,Rain,0.89,100,44.4,8.7
TN-SLM-301-0204,TNSTC_SALEM,SLM-301,Salem New Bus Stand,Yercaud Hill Top,32.0,12,4,0,Clear,0.34,60,15.3,20.0
TN-SETC-108X-0205,SETC_EXPRESS,SETC-108X,Chennai CMBT,Puducherry Bus Stand,155.0,19,3,1,Clear,0.9,100,28.7,82.7
TN-570-0206,MTC_CHENNAI,570,Koyambedu CMBT,Siruseri IT Park OMR,34.5,9,6,1,Clear,0.71,115,26.2,21.0
TN-23C-0207,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,21,6,0,Clear,0.33,40,9.4,7.7
TN-5E-0208,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,18,0,1,Clear,0.91,107,32.7,9.2
TN-MDU-RMS-0209,TNSTC_MADURAI,MDU-RMS,Madurai Mattuthavani,Rameswaram Temple Stand,172.0,21,2,0,Clear,0.37,35,11.5,76.4
TN-23C-0210,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,15,6,0,Clear,0.26,48,13.1,6.8
TN-5E-0211,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,20,3,1,Monsoon_Heavy,0.9,90,49.2,8.8
TN-5E-0212,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,22,5,0,Monsoon_Heavy,0.64,37,48.2,8.2
TN-23C-0213,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,6,1,0,Rain,0.59,69,30.8,6.9
TN-SLM-ERD-0214,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,22,0,0,Fog,0.43,45,16.4,32.2
TN-70H-0215,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,16,1,0,Monsoon_Heavy,0.59,72,45.7,8.2
TN-MDU-201-0216,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,7,4,0,Monsoon_Heavy,0.63,62,45.9,5.7
TN-SLM-ERD-0217,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,6,5,0,Rain,0.74,46,37.9,35.4
TN-21G-0218,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,16,1,0,Fog,0.5,36,18.9,10.1
TN-CBE-PLK-0219,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,9,0,1,Clear,0.84,126,23.8,26.7
TN-SLM-301-0220,TNSTC_SALEM,SLM-301,Salem New Bus Stand,Yercaud Hill Top,32.0,20,5,1,Clear,0.91,89,30.7,24.8
TN-101A-0221,MTC_CHENNAI,101A,Koyambedu CMBT,Chennai Central Station,14.8,14,1,0,Clear,0.56,32,16.6,9.4
TN-MDU-RMS-0222,TNSTC_MADURAI,MDU-RMS,Madurai Mattuthavani,Rameswaram Temple Stand,172.0,22,3,0,Clear,0.22,71,5.3,73.3
TN-101A-0223,MTC_CHENNAI,101A,Koyambedu CMBT,Chennai Central Station,14.8,15,2,0,Clear,0.56,57,21.8,10.1
TN-MDU-RMS-0224,TNSTC_MADURAI,MDU-RMS,Madurai Mattuthavani,Rameswaram Temple Stand,172.0,15,1,0,Rain,0.61,53,35.6,82.9
TN-21G-0225,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,18,0,1,Rain,0.96,96,42.7,10.7
TN-21G-0226,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,15,5,0,Clear,0.34,68,13.7,8.7
TN-SLM-301-0227,TNSTC_SALEM,SLM-301,Salem New Bus Stand,Yercaud Hill Top,32.0,16,3,0,Clear,0.53,52,18.4,21.6
TN-SETC-902X-0228,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,6,0,0,Fog,0.49,53,16.3,223.4
TN-11G-0229,MTC_CHENNAI,11G,K.K. Nagar,Broadway Bus Terminus,12.0,5,1,0,Monsoon_Heavy,0.71,58,43.6,7.4
TN-SETC-902X-0230,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,16,2,0,Rain,0.73,32,36.3,239.2
TN-MDU-201-0231,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,16,3,0,Clear,0.46,63,14.1,5.3
TN-CBE-101-0232,TNSTC_COIMBATORE,CBE-101,Coimbatore Gandhipuram,Singanallur Bus Stand,9.5,12,0,0,Clear,0.53,61,17.6,7.0
TN-23C-0233,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,13,6,0,Clear,0.52,43,21.6,7.1
TN-SLM-ERD-0234,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,11,0,0,Clear,0.58,58,16.0,34.4
TN-21G-0235,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,15,5,0,Clear,0.52,65,17.5,10.5
TN-11G-0236,MTC_CHENNAI,11G,K.K. Nagar,Broadway Bus Terminus,12.0,10,6,1,Clear,0.83,92,30.8,8.8
TN-D70-0237,MTC_CHENNAI,D70,Ambattur OT,Velachery Railway Station,26.0,20,0,1,Clear,0.84,108,26.4,17.3
TN-5E-0238,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,7,0,0,Clear,0.38,75,14.9,8.1
TN-MDU-KODAI-0239,TNSTC_MADURAI,MDU-KODAI,Madurai Arapalayam,Kodaikanal Bus Stand,115.0,23,0,0,Clear,0.64,71,16.9,63.9
TN-TRY-401-0240,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,16,1,0,Monsoon_Heavy,0.69,41,49.6,29.5
TN-TRY-401-0241,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,6,6,0,Clear,0.43,49,11.4,27.7
TN-D70-0242,MTC_CHENNAI,D70,Ambattur OT,Velachery Railway Station,26.0,16,4,0,Clear,0.58,46,16.2,16.2
TN-CBE-101-0243,TNSTC_COIMBATORE,CBE-101,Coimbatore Gandhipuram,Singanallur Bus Stand,9.5,9,5,1,Clear,0.86,90,27.3,6.3
TN-SETC-108X-0244,SETC_EXPRESS,SETC-108X,Chennai CMBT,Puducherry Bus Stand,155.0,9,1,1,Fog,0.86,100,25.8,81.7
TN-101A-0245,MTC_CHENNAI,101A,Koyambedu CMBT,Chennai Central Station,14.8,5,0,0,Clear,0.63,66,18.3,9.4
TN-SETC-108X-0246,SETC_EXPRESS,SETC-108X,Chennai CMBT,Puducherry Bus Stand,155.0,18,4,1,Fog,0.71,100,23.2,78.0
TN-CBE-OOTY-0247,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,20,1,1,Fog,0.81,114,22.0,48.4
TN-SLM-301-0248,TNSTC_SALEM,SLM-301,Salem New Bus Stand,Yercaud Hill Top,32.0,18,3,1,Rain,0.85,123,35.8,24.3
TN-CBE-PLK-0249,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,16,3,0,Clear,0.54,62,18.3,23.8
TN-SLM-301-0250,TNSTC_SALEM,SLM-301,Salem New Bus Stand,Yercaud Hill Top,32.0,8,2,1,Rain,0.86,91,35.3,24.5
TN-SETC-801X-0251,SETC_EXPRESS,SETC-801X,Chennai CMBT,Madurai Mattuthavani,460.0,18,1,1,Clear,0.91,100,30.8,230.6
TN-11G-0252,MTC_CHENNAI,11G,K.K. Nagar,Broadway Bus Terminus,12.0,20,4,1,Rain,0.93,104,41.4,7.9
TN-MDU-RMS-0253,TNSTC_MADURAI,MDU-RMS,Madurai Mattuthavani,Rameswaram Temple Stand,172.0,21,3,0,Clear,0.3,52,6.4,75.1
TN-SETC-801X-0254,SETC_EXPRESS,SETC-801X,Chennai CMBT,Madurai Mattuthavani,460.0,20,2,1,Monsoon_Heavy,0.9,91,52.9,231.1
TN-MDU-201-0255,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,17,2,1,Clear,0.8,121,26.1,5.9
TN-CBE-OOTY-0256,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,7,3,0,Monsoon_Heavy,0.6,65,42.5,47.2
TN-SETC-801X-0257,SETC_EXPRESS,SETC-801X,Chennai CMBT,Madurai Mattuthavani,460.0,8,1,1,Clear,0.8,100,26.0,224.1
TN-5E-0258,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,11,4,0,Monsoon_Heavy,0.58,32,39.8,7.9
TN-CBE-PLK-0259,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,20,4,1,Rain,0.84,117,35.5,27.0
TN-CBE-PLK-0260,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,10,3,1,Monsoon_Heavy,0.98,104,56.7,27.2
TN-TRY-401-0261,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,22,3,0,Fog,0.45,60,17.8,27.9
TN-23C-0262,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,18,4,1,Clear,0.91,125,24.5,8.2
TN-SETC-902X-0263,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,23,4,0,Clear,0.52,67,16.9,225.0
TN-SETC-801X-0264,SETC_EXPRESS,SETC-801X,Chennai CMBT,Madurai Mattuthavani,460.0,17,1,1,Fog,0.76,100,28.3,221.2
TN-70H-0265,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,19,2,1,Rain,0.84,98,37.9,9.2
TN-SLM-ERD-0266,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,6,5,0,Clear,0.43,65,12.8,32.8
TN-TRY-401-0267,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,17,2,1,Clear,0.82,119,24.7,31.0
TN-SETC-902X-0268,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,13,4,0,Rain,0.39,45,23.2,215.9
TN-CBE-OOTY-0269,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,14,5,0,Clear,0.51,61,15.2,44.9
TN-CBE-101-0270,TNSTC_COIMBATORE,CBE-101,Coimbatore Gandhipuram,Singanallur Bus Stand,9.5,14,0,0,Monsoon_Heavy,0.7,54,51.1,6.4
TN-MDU-201-0271,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,9,2,1,Clear,0.77,90,23.2,6.0
TN-CBE-101-0272,TNSTC_COIMBATORE,CBE-101,Coimbatore Gandhipuram,Singanallur Bus Stand,9.5,20,1,1,Clear,0.92,102,33.0,7.3
TN-5E-0273,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,8,4,1,Fog,0.85,100,23.0,9.9
TN-D70-0274,MTC_CHENNAI,D70,Ambattur OT,Velachery Railway Station,26.0,12,0,0,Clear,0.39,75,13.0,14.9
TN-5E-0275,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,5,4,0,Clear,0.38,60,12.7,7.5
TN-CBE-OOTY-0276,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,15,2,0,Fog,0.23,35,9.8,41.0
TN-101A-0277,MTC_CHENNAI,101A,Koyambedu CMBT,Chennai Central Station,14.8,10,3,1,Clear,0.94,87,34.2,10.5
TN-SLM-ERD-0278,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,10,5,1,Clear,0.93,85,27.6,37.6
TN-CBE-PLK-0279,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,14,3,0,Fog,0.44,61,18.2,22.8
TN-TRY-401-0280,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,19,2,1,Clear,0.91,106,25.8,31.9
TN-CBE-101-0281,TNSTC_COIMBATORE,CBE-101,Coimbatore Gandhipuram,Singanallur Bus Stand,9.5,10,0,1,Fog,0.79,103,25.8,7.2
TN-11G-0282,MTC_CHENNAI,11G,K.K. Nagar,Broadway Bus Terminus,12.0,17,6,1,Rain,0.93,90,40.5,7.9
TN-5E-0283,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,20,2,1,Clear,0.7,109,20.1,9.2
TN-CBE-PLK-0284,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,14,4,0,Fog,0.46,46,16.7,23.9
TN-101A-0285,MTC_CHENNAI,101A,Koyambedu CMBT,Chennai Central Station,14.8,8,3,1,Clear,0.74,128,23.7,10.8
TN-CBE-OOTY-0286,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,8,5,1,Clear,0.8,99,23.0,48.4
TN-5E-0287,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,19,5,1,Monsoon_Heavy,0.98,120,59.6,9.9
TN-570-0288,MTC_CHENNAI,570,Koyambedu CMBT,Siruseri IT Park OMR,34.5,12,5,0,Monsoon_Heavy,0.79,35,50.4,21.5
TN-MDU-201-0289,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,7,4,0,Clear,0.23,65,12.0,4.7
TN-TRY-SRM-0290,TNSTC_TRICHY,TRY-SRM,Trichy Chatram,Srirangam Temple,9.0,9,1,1,Clear,0.92,113,25.6,6.2
TN-SETC-108X-0291,SETC_EXPRESS,SETC-108X,Chennai CMBT,Puducherry Bus Stand,155.0,20,0,1,Monsoon_Heavy,0.98,88,55.5,83.6
TN-SLM-301-0292,TNSTC_SALEM,SLM-301,Salem New Bus Stand,Yercaud Hill Top,32.0,23,0,0,Monsoon_Heavy,0.61,49,46.8,22.0
TN-70H-0293,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,11,4,0,Clear,0.22,52,9.9,7.4
TN-101A-0294,MTC_CHENNAI,101A,Koyambedu CMBT,Chennai Central Station,14.8,7,3,0,Clear,0.33,41,13.8,9.5
TN-SETC-902X-0295,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,18,2,1,Rain,0.92,100,40.0,251.8
TN-TRY-SRM-0296,TNSTC_TRICHY,TRY-SRM,Trichy Chatram,Srirangam Temple,9.0,9,5,1,Clear,0.73,119,22.4,5.7
TN-D70-0297,MTC_CHENNAI,D70,Ambattur OT,Velachery Railway Station,26.0,5,6,0,Clear,0.64,59,22.3,15.7
TN-TRY-SRM-0298,TNSTC_TRICHY,TRY-SRM,Trichy Chatram,Srirangam Temple,9.0,17,6,1,Clear,0.76,107,21.2,5.9
TN-23C-0299,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,6,6,0,Fog,0.39,31,10.9,6.4
TN-SETC-801X-0300,SETC_EXPRESS,SETC-801X,Chennai CMBT,Madurai Mattuthavani,460.0,6,3,0,Monsoon_Heavy,0.7,33,45.2,217.5
TN-SLM-301-0301,TNSTC_SALEM,SLM-301,Salem New Bus Stand,Yercaud Hill Top,32.0,12,4,0,Clear,0.54,33,14.5,22.6
TN-D70-0302,MTC_CHENNAI,D70,Ambattur OT,Velachery Railway Station,26.0,23,2,0,Monsoon_Heavy,0.67,73,49.5,15.3
TN-5E-0303,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,21,1,0,Rain,0.44,33,27.2,8.4
TN-11G-0304,MTC_CHENNAI,11G,K.K. Nagar,Broadway Bus Terminus,12.0,18,4,1,Rain,0.81,107,41.8,8.6
TN-TRY-401-0305,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,15,5,0,Rain,0.48,49,26.8,28.8
TN-SLM-ERD-0306,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,12,6,0,Clear,0.34,75,8.5,31.6
TN-101A-0307,MTC_CHENNAI,101A,Koyambedu CMBT,Chennai Central Station,14.8,22,3,0,Rain,0.55,38,29.0,9.2
TN-CBE-PLK-0308,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,7,3,0,Clear,0.24,42,4.7,21.8
TN-SETC-801X-0309,SETC_EXPRESS,SETC-801X,Chennai CMBT,Madurai Mattuthavani,460.0,6,6,0,Clear,0.28,67,11.9,192.6
TN-SLM-ERD-0310,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,11,6,0,Clear,0.34,30,9.1,31.2
TN-23C-0311,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,20,1,1,Fog,0.86,98,26.4,7.7
TN-CBE-PLK-0312,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,14,3,0,Rain,0.54,52,28.0,23.9
TN-SLM-ERD-0313,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,19,0,1,Fog,0.82,105,29.8,36.2
TN-MDU-KODAI-0314,TNSTC_MADURAI,MDU-KODAI,Madurai Arapalayam,Kodaikanal Bus Stand,115.0,6,4,0,Clear,0.53,31,15.2,62.7
TN-SETC-108X-0315,SETC_EXPRESS,SETC-108X,Chennai CMBT,Puducherry Bus Stand,155.0,18,2,1,Clear,0.75,99,22.9,79.2
TN-SLM-ERD-0316,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,22,5,0,Fog,0.35,61,16.2,32.0
TN-SLM-ERD-0317,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,19,1,1,Fog,0.91,95,25.6,37.3
TN-11G-0318,MTC_CHENNAI,11G,K.K. Nagar,Broadway Bus Terminus,12.0,22,5,0,Clear,0.44,34,18.7,7.8
TN-70H-0319,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,18,1,1,Fog,0.76,94,19.9,8.6
TN-MDU-201-0320,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,6,4,0,Fog,0.5,69,20.2,5.9
TN-70H-0321,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,5,4,0,Monsoon_Heavy,0.59,31,44.5,7.8
TN-CBE-OOTY-0322,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,5,4,0,Fog,0.5,41,13.0,44.3
TN-5E-0323,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,12,1,0,Monsoon_Heavy,0.64,52,43.6,8.5
TN-MDU-201-0324,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,17,3,1,Monsoon_Heavy,0.96,99,53.5,6.9
TN-21G-0325,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,6,0,0,Rain,0.47,65,27.4,9.9
TN-11G-0326,MTC_CHENNAI,11G,K.K. Nagar,Broadway Bus Terminus,12.0,7,3,0,Rain,0.59,51,31.8,8.4
TN-23C-0327,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,21,0,0,Clear,0.3,74,14.0,6.9
TN-101A-0328,MTC_CHENNAI,101A,Koyambedu CMBT,Chennai Central Station,14.8,7,5,0,Clear,0.6,66,20.9,9.2
TN-CBE-PLK-0329,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,5,1,0,Monsoon_Heavy,0.46,75,43.2,24.3
TN-CBE-OOTY-0330,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,10,4,1,Clear,0.85,109,28.6,49.7
TN-MDU-RMS-0331,TNSTC_MADURAI,MDU-RMS,Madurai Mattuthavani,Rameswaram Temple Stand,172.0,9,6,1,Fog,0.89,117,30.4,89.3
TN-23C-0332,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,18,1,1,Clear,0.79,124,29.3,7.8
TN-CBE-PLK-0333,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,5,5,0,Clear,0.55,58,17.9,24.0
TN-MDU-RMS-0334,TNSTC_MADURAI,MDU-RMS,Madurai Mattuthavani,Rameswaram Temple Stand,172.0,18,1,1,Fog,0.85,109,23.3,88.8
TN-D70-0335,MTC_CHENNAI,D70,Ambattur OT,Velachery Railway Station,26.0,7,0,0,Clear,0.27,75,12.2,13.4
TN-MDU-RMS-0336,TNSTC_MADURAI,MDU-RMS,Madurai Mattuthavani,Rameswaram Temple Stand,172.0,15,2,0,Clear,0.24,49,8.2,74.5
TN-23C-0337,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,9,0,1,Clear,0.81,120,26.3,7.9
TN-70H-0338,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,7,2,0,Monsoon_Heavy,0.44,68,42.3,8.5
TN-70H-0339,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,14,3,0,Rain,0.65,65,36.6,9.1
TN-SETC-108X-0340,SETC_EXPRESS,SETC-108X,Chennai CMBT,Puducherry Bus Stand,155.0,21,1,0,Fog,0.37,38,10.5,70.0
TN-5E-0341,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,7,1,0,Rain,0.42,49,26.0,7.4
TN-CBE-101-0342,TNSTC_COIMBATORE,CBE-101,Coimbatore Gandhipuram,Singanallur Bus Stand,9.5,12,5,0,Fog,0.42,69,11.4,5.4
TN-CBE-OOTY-0343,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,5,3,0,Clear,0.58,54,21.6,45.8
TN-CBE-PLK-0344,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,18,6,1,Fog,0.95,93,28.2,27.2
TN-570-0345,MTC_CHENNAI,570,Koyambedu CMBT,Siruseri IT Park OMR,34.5,20,2,1,Clear,0.95,105,28.1,22.7
